time,Frequency(Kmph),Weight(Kg),fiber1_sensor1,Temperature,change in Bragg Wavelength
5.834,10,0,1538.7179,20.558,2.80E-10
5.844,10,0,1538.7179,20.558,2.80E-10
5.854,10,0,1538.718,20.565,2.80E-10
5.864,10,0,1538.718,20.565,2.80E-10
5.874,10,0,1538.7181,20.573,2.80E-10
5.884,10,0,1538.7181,20.573,2.80E-10
5.894,10,0,1538.7181,20.573,2.80E-10
5.904,10,0,1538.7182,20.58,2.80E-10
5.914,10,0,1538.7181,20.573,2.80E-10
5.924,10,0,1538.7182,20.58,2.80E-10
5.934,10,0,1538.7181,20.573,2.80E-10
5.944,10,0,1538.7182,20.58,2.80E-10
5.954,10,0,1538.7182,20.58,2.80E-10
5.964,10,0,1538.7184,20.595,2.80E-10
5.974,10,0,1538.7183,20.587,2.80E-10
5.984,10,0,1538.7183,20.587,2.80E-10
5.994,10,0,1538.7183,20.587,2.80E-10
6.004,10,0,1538.7183,20.587,2.80E-10
6.014,10,0,1538.7182,20.58,2.80E-10
6.024,10,0,1538.7182,20.58,2.80E-10
6.034,10,0,1538.7182,20.58,2.80E-10
6.044,10,0,1538.7182,20.58,2.80E-10
6.054,10,0,1538.7182,20.58,2.80E-10
